team,predicted_points_2026
WSH,95.71940083947209
NJD,95.64339358202196
CAR,94.62815769399373
FLA,94.39702146982602
VGK,94.389026218279
TBL,94.12389450987776
UTA,93.47228245912136
EDM,92.41838207455653
LAK,92.32728854417935
NSH,91.5961434452339
DAL,91.40042550459253
WPG,91.1729312765689
CGY,90.96472322161928
COL,90.72201132884865
TOR,89.34317989572364
OTT,88.08598849896347
VAN,86.67771790290254
CBJ,86.22233670417474
PIT,85.98157141862721
NYR,85.34711422379522
STL,85.26963691110073
DET,84.75971689254462
MIN,83.73636771387218
NYI,83.42722913480752
BUF,83.19462938591452
PHI,82.23706004512364
BOS,81.7296591603099
SEA,80.96500320092713
ANA,73.97480252691602
MTL,72.0236814962932
SJS,69.60031665365355
CHI,69.3003298469151
